,0
Channel,Rayleigh
BleuScore,"[0.7251164335678013, 0.8332989308652741, 0.8775406935088405, 0.9217634970140225, 0.9436554160349688, 0.9590694724177269, 0.965945866866395]"
SimilarScore,"[0.7337506115906097, 0.8275333822659171, 0.8674886848371035, 0.9065176889028351, 0.9262599927030621, 0.9400703151311192, 0.9462987863435027]"
Total_params,11426832
TrainingTime,"0 hrs, 25 mins, 10 secs"
